,length,count
6234,116,14
326,135,18
997,86,14
7269,41,6
2189,102,14
3725,90,18
4062,135,16
5928,81,15
5178,91,13
5079,72,10
931,134,18
2696,79,9
1408,125,24
378,103,12
4692,140,17
1257,94,20
2703,135,20
6061,129,15
3405,62,9
5164,60,10
5121,109,18
6929,75,9
1162,106,13
3408,68,13
6218,110,20
1551,138,17
4343,42,3
479,56,12
4015,112,14
4239,117,14
881,35,6
5691,113,20
2234,136,20
6292,131,23
5422,103,15
3470,135,18
1273,136,24
7068,79,11
360,103,12
2874,85,17
5562,136,20
3571,83,8
4793,138,24
2584,130,18
1450,31,3
3302,114,18
1005,110,21
2599,84,14
5328,63,7
2037,67,11
5868,94,17
6343,136,18
6807,137,23
169,62,8
7476,102,17
99,97,22
3519,140,17
5680,45,7
4941,87,11
7336,135,17
4720,115,19
5028,49,9
1521,138,18
3436,139,23
2632,84,16
2424,96,20
4362,132,18
4797,137,24
3092,126,22
5554,119,23
3943,114,13
7456,120,25
878,26,5
619,124,15
4444,112,22
2372,146,21
5310,136,18
5995,31,5
5339,84,13
5743,26,5
918,85,11
1374,130,21
7466,105,14
232,140,21
3204,142,20
1023,38,9
3140,139,14
117,54,9
7200,60,9
6565,43,8
5943,53,5
4148,56,11
2414,44,7
2324,116,18
4368,117,14
5596,45,7
3890,116,16
6518,144,28
3398,143,24
4657,40,5
