,length,count
4863,71,11
1370,130,21
3521,104,12
178,103,13
5859,112,20
6837,136,17
6167,77,9
2905,45,10
5412,59,8
2227,119,21
1318,75,9
4668,110,15
4256,91,12
1956,84,15
1358,96,14
6569,136,18
5020,62,9
5311,98,13
2447,116,20
5303,124,23
2685,100,8
6003,97,15
1572,79,17
244,115,21
2636,110,22
6818,134,21
6006,134,22
6400,76,10
3441,79,10
6488,139,18
954,138,31
1041,120,14
4436,130,22
5267,38,6
6771,56,10
6155,60,10
1393,131,18
2588,92,12
38,140,20
4064,101,11
7319,78,13
5642,122,18
5119,92,12
4609,128,21
4760,74,8
4291,120,21
1968,86,12
6043,141,25
1003,77,14
4719,129,18
796,119,21
3875,109,19
6389,117,18
116,138,16
2366,140,26
7162,108,20
5759,95,14
809,138,19
4392,119,17
4961,104,15
6402,136,17
4833,143,24
1923,63,7
1660,73,11
7580,93,12
5017,100,17
5195,139,20
1673,130,19
1689,108,12
4955,127,15
6685,51,11
5706,136,19
4553,117,19
6734,134,20
7339,105,13
7537,60,8
2638,39,6
3043,136,17
3598,98,14
4004,96,17
4143,136,20
5407,72,13
6144,87,12
6256,137,20
5494,99,21
3057,135,18
713,64,12
2986,27,4
5997,77,14
6311,63,9
2779,141,22
2804,139,20
2378,112,17
6555,147,19
147,136,20
7432,139,26
6410,92,12
4773,109,22
2471,124,17
6920,99,18
