,keyword,corpus,meta,url
4863,False,False,False,False
1370,True,False,False,True
3521,False,True,True,True
178,True,False,True,True
5859,False,False,False,False
6837,False,False,True,True
6167,False,False,False,False
2905,False,False,False,False
5412,False,False,False,True
2227,False,False,False,False
1318,False,False,False,False
4668,False,False,False,False
4256,True,True,False,True
1956,True,False,False,False
1358,False,False,False,False
6569,True,True,True,True
5020,False,False,False,False
5311,True,True,False,True
2447,True,False,False,False
5303,True,False,False,False
2685,False,False,True,True
6003,False,False,False,False
1572,False,False,False,False
244,False,False,False,False
2636,False,False,False,False
6818,False,True,False,False
6006,False,False,False,False
6400,True,True,False,True
3441,False,False,False,True
6488,False,False,True,True
954,False,False,False,False
1041,False,False,True,True
4436,True,True,False,True
5267,True,True,False,False
6771,False,False,False,False
6155,False,False,False,False
1393,True,False,True,True
2588,False,True,False,True
38,False,True,True,True
4064,True,True,True,True
7319,True,False,False,False
5642,True,False,False,True
5119,False,False,False,True
4609,False,False,False,False
4760,False,True,False,True
4291,False,False,False,False
1968,True,False,False,False
6043,False,True,False,False
1003,False,False,False,False
4719,False,False,True,True
796,False,False,False,False
3875,True,False,False,True
6389,True,True,False,True
116,False,False,True,True
2366,True,False,False,False
7162,False,False,False,False
5759,False,False,False,True
809,False,True,True,True
4392,False,False,False,True
4961,False,False,False,False
6402,True,True,True,True
4833,True,False,False,True
1923,False,False,False,True
1660,False,False,False,False
7580,False,False,False,True
5017,False,False,False,False
5195,False,False,True,True
1673,False,False,False,True
1689,False,False,True,True
4955,False,True,True,True
6685,False,False,False,False
5706,True,True,True,True
4553,True,True,False,True
6734,False,True,False,True
7339,True,True,True,True
7537,True,True,False,False
2638,False,False,False,False
3043,True,False,True,False
3598,True,True,False,True
4004,True,False,False,False
4143,False,False,True,True
5407,False,False,False,False
6144,False,False,False,True
6256,True,False,True,False
5494,False,False,False,False
3057,True,True,True,True
713,False,False,False,False
2986,False,True,False,False
5997,False,False,False,False
6311,False,False,False,False
2779,True,True,False,True
2804,False,False,True,False
2378,True,False,False,False
6555,False,False,True,True
147,True,True,True,False
7432,False,False,False,False
6410,True,True,False,True
4773,False,False,False,False
2471,True,True,True,True
6920,False,False,False,False
